OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,COMMENTS,REPORT_AC,GIS_ACRES,C_METHOD,OBJECTIVE,FIRE_NUM,Shape_Length,Shape_Area
"10697","2001",CA,CDF,TGU,BOGGS 5,"00005637",2001/10/01 00:00:00,,"7",,,197.608993530273,,"1","00000265",6455.54347262419,799695.214740083
"10698","2001",CA,CDF,TGU,J. BLACK,"00004253",2001/07/30 00:00:00,,"11",,,125.300476074219,,"1","00000188",2928.04412668251,507073.02352892
"10699","2001",CA,CDF,TUU,ELDERWOOD,"00005589",2001/06/15 00:00:00,,"11",,,20.6706790924072,,"1","00000071",2150.23225785854,83651.266713473
"10700","2001",CA,CDF,TUU,DRY CREEK,"00005858",2001/06/21 00:00:00,,"7",,,53.8396606445312,,"1","00000083",1874.71634947607,217881.368828775
"10701","2001",CA,CDF,MVU,BELL,"00008827",2001/12/08 00:00:00,,"9",,,1409.16833496094,,"1","00001098",23389.9012448402,5702702.01728196
"10702","2001",CA,CCO,VNC,WESTLAKE INCIDENT,"00033337",2001/06/29 00:00:00,,"14",,,278.620697021484,,"1","00000000",4983.10252304444,1127538.00672403
"10703","2001",CA,CCO,VNC,PIRU INCIDENT,"00031865",2001/06/22 00:00:00,,"14",,,65.3297805786133,,"1","00000000",4330.52879159941,264380.228067265
"10704","1981",CA,CDF,TGU,HOGSBACK,"00000842",1981/07/29 00:00:00,,"7",,,369.106658935547,,"1","00000174",5481.48764166526,1493721.60029713
"10705","1981",CA,CDF,TGU,QUINLAN,"00000414",1981/05/28 00:00:00,,"3",,,1486.44201660156,,"1","00000037",10965.422428234,6015417.3582327
"10706","1981",CA,CDF,TGU,SUNSBURY HILL SERIES,"00000581",1981/06/27 00:00:00,,"7",,,249.784362792969,,"1","00000084",8525.61716106073,1010841.4294917
"10707","1998",CA,USF,SRF, ,"00000000",1998/10/01 00:00:00,,"14",,,149.017913818359,,"1","00000000",2922.51974926809,603054.080288316
"10708","1998",CA,USF,SRF, ,"00000000",1998/10/01 00:00:00,,"14",,,1583.92297363281,,"1","00000000",12167.9209640802,6409908.77496875
"10709","1998",CA,CDF,BDU,OAK CANYON FIRE,"00040709",1998/07/16 00:00:00,,"4",,,219.285217285156,,"1","00000000",4538.70378453505,887415.784507884
"10710","1998",CA,CDF,BDU,STALLION FIRE,"00043142",1998/07/27 00:00:00,,"14",,,945.724243164062,,"1","00000000",8715.90740846104,3827210.32222
"10711","1998",CA,CDF,BDU,COVINGTON FIRE,"00035500",1998/06/23 00:00:00,,"14",,,781.469543457031,,"1","00000000",9585.44599759992,3162494.97462556
"10712","1998",CA,CDF,BDU, ,"00000202",1998/08/31 00:00:00,,"14",,,318.836975097656,,"1","00000000",6488.59317445516,1290287.46874418
"10713","1987",CA,CDF,BEU,CHULAR CANYON,"00001853",1987/10/06 00:00:00,,"14",,,423.425201416016,,"1","00000000",6190.97216324641,1713541.03636906
"10714","1987",CA,CDF,BEU,MORSE,"00000775",1987/05/31 00:00:00,,"14",,,190.330017089844,,"1","00000000",4045.17498589672,770238.245160433
"10715","1987",CA,USF,SRF,SCORPION,"00000000",1987/06/16 00:00:00,1987/06/20 00:00:00,"4",,20,19.9149169921875,"8","1","00000026",1007.64076968802,80592.8061951246
"10716","1987",CA,USF,SRF,HORSE LINTO,"00000000",1987/06/27 00:00:00,1987/06/28 00:00:00,"9",,123,122.478973388672,"8","1","00000028",2498.8888710811,495654.83126521
"10717","1987",CA,USF,SRF,WINNEBAGO,"00000000",1987/08/17 00:00:00,1987/08/18 00:00:00,"7",,76,75.6776504516602,"8","1","00000040",1964.26524348747,306256.575035994
"10718","1987",CA,USF,SRF,AIKENS,"00000000",1987/08/24 00:00:00,,"14",,,9.9575252532959,,"1","00101112",712.511778061129,40296.6763356514
"10719","1987",CA,USF,SRF,WOODTICK,"00000000",1987/10/07 00:00:00,1987/10/08 00:00:00,"1",,10,9.95756340026855,"8","1","00000058",712.513412487625,40296.827643812
"10720","1987",CA,USF,SRF, ,"00000000",1987/06/27 00:00:00,,"14",,,122.478530883789,,"1","00501097",2498.88501625336,495653.041685579
"10721","1987",CA,USF,SRF,LITTLEFIELD,"00000000",1987/08/31 00:00:00,,"1",,,15.4294691085815,,"1","00101120",964.674689875248,62440.8452535778
"10722","1987",CA,USF,KNF,LAKE,"00000000",1987/08/30 00:00:00,1987/09/28 00:00:00,"1",,15150,18234.25,"8","1","00000318",49292.8953016401,73791389.7628388
"10723","1987",CA,USF,MNF,SLIDES,"00000000",1987/09/01 00:00:00,1987/09/19 00:00:00,"1",,1100,913.351684570312,"8","1","00000042",8511.56848422454,3696203.03051052
"10724","1987",CA,USF,MNF,FOUTS,"00000000",1987/09/01 00:00:00,1987/09/14 00:00:00,"1",,18677,16362.875,"8","1","00000037",51353.0891429373,66218207.0405261
"10725","1987",CA,USF,CNF,ASSIST #105,"00000000",1987/07/18 00:00:00,,"9",,,46.5564079284668,,"1","00000011",1732.02727285425,188407.095034727
"10726","1987",CA,USF,CNF,DEHESA #2,"00000000",1987/08/20 00:00:00,,"9",,,61.6161880493164,,"1","00000016",2844.2602974593,249351.872426239
"10727","1987",CA,USF,CNF,CARRIZO,"00000000",1987/07/12 00:00:00,,"9",,,289.924957275391,,"1","00000010",7705.07364671423,1173284.67181707
"10728","1989",CA,CDF,BDU, ,"00069171",1989/08/12 00:00:00,,"10",,,215.325408935547,,"1","00000619",3756.72726802868,871391.00689574
"10729","1989",CA,CCO,VNC,BATES FIRE,"00000000",1989/04/04 00:00:00,,"14",,,190.815353393555,,"1","00000000",4924.44979626661,772202.361636934
"10730","2003",CA,CDF,TUU,BALCH,"00007493",2003/07/13 00:00:00,,"14",,,37.4995994567871,,"1","00000153",1811.05153210019,151755.498653557
"10731","2003",CA,CDF,TUU,FRAZIER,"00007233",2003/07/08 00:00:00,,"14",,,697.878234863281,,"1","00000136",7314.13192563238,2824213.13820706
"10732","2003",CA,CDF,TUU,ELEPHANT,"00008652",2003/08/06 00:00:00,2003/08/06 00:00:00,"14",,,243.441543579102,"8","1","00000202",5377.29959648316,985172.955077779
"10733","2000",CA,CDF,TUU,RIO,"00006257",2003/06/20 00:00:00,,"14",,,24.9351425170898,,"1","00000084",1983.31725620767,100908.938067215
"10734","2003",CA,CDF,MMU,"152","00009901",2003/06/16 00:00:00,2003/06/16 00:00:00,"9",,1558,1507.27221679688,"6","1","00000166",16138.0770845123,6099714.10704553
"10735","1997",CA,CCO,ORC,EL MORO,"00000000",1997/08/06 00:00:00,,"7",,90.68,90.6868209838867,,"1","00000000",3508.39737410468,366996.5526691
"10736","1990",CA,CCO,ORC,MONARCH,"00000000",1990/06/20 00:00:00,,"14",,101.4,101.408653259277,,"1","00000000",2730.95222553791,410386.274871109
"10737","1991",CA,CCO,ORC,PICO,"00000000",1991/11/25 00:00:00,,"7",,222.05,222.067687988281,,"1","00000000",4912.05353934997,898676.019274917
"10738","2001",CA,CCO,ORC,SHADY CANYON,"00000000",2001/09/09 00:00:00,,"11",,25.58,25.5823001861572,,"1","00000000",1897.63844530896,103527.897915971
"10739","2001",CA,CCO,ORC, ,"00000000",2001/09/15 00:00:00,,"7",,6.12,6.12074422836304,,"1","00000000",972.574542246886,24769.7728812496
"10740","2003",CA,USF,MNF,BUCK RIDGE,"00000000",2003/09/03 00:00:00,2003/09/07 00:00:00,"1",,25,13.4330825805664,"1","1","00000065",859.514992845038,54361.7579884211
"10741","2003",CA,USF,MNF,BOWMAN,"00000000",2003/09/03 00:00:00,2003/09/09 00:00:00,"1",,212,213.16178894043,"2","1","00000051",4249.32720384235,862635.170587154
"10742","2003",CA,USF,MNF,LOGAN (LEE LOGAN),"00000000",2003/09/03 00:00:00,2003/09/10 00:00:00,"1",,200,200.214477539062,"2","1","00000030",3853.80099441101,810239.251465476
"10743","2003",CA,USF,MNF,BEAR,"00000000",2003/09/03 00:00:00,2003/09/09 00:00:00,"1",,403,403.330261230469,"2","1","00000019",6826.04323373493,1632219.65597686
"10744","2003",CA,USF,MNF,RED ROCK,"00000000",2003/09/03 00:00:00,2003/09/06 00:00:00,"1",,33,33.1133613586426,"2","1","00000023",1684.81384527565,134005.016111079
"10745","2003",CA,USF,MNF,HAPPY CAMP,"00000000",2003/09/03 00:00:00,2003/09/15 00:00:00,"1",,1481,1482.12670898438,"2","1","00000061",15170.4456282648,5997953.75847987
"10746","2003",CA,USF,MNF,FELKNER,"00000000",2003/09/03 00:00:00,2003/09/07 00:00:00,"1",,407,516.472961425781,"2","1","00000050",8576.79973548069,2090091.81736804
"10747","2003",CA,USF,MNF,DEAFY,"00000000",2003/09/03 00:00:00,2003/09/12 00:00:00,"1",,4696,4782.02099609375,"2","1","00000066",25266.6031206414,19352152.8482146
"10748","2003",CA,USF,MNF,HORSE (HULL),"00000000",2003/09/03 00:00:00,2003/09/09 00:00:00,"1",,102,102.373115539551,"2","1","00000022",3296.13696908062,414289.287118145
"10749","1925",CA,USF,LPF,REFUGIO,"00000000",1925/11/20 00:00:00,,"9",,,484.720672607422,,"1","00000017",7140.65220571219,1961594.92281743
"10750","1926",CA,USF,LPF,REFUGIO,"00000000",1926/11/26 00:00:00,,"9",,,194.304565429688,,"1","00000017",3414.07116599198,786322.678255731
"10751","1934",CA,USF,LPF,SAN ONOFRE CYN,"00000000",1934/09/05 00:00:00,,"9",,,194.402099609375,,"1","00000018",3490.46033974637,786717.362993175
"10752","1999",CA,CCO,SBC,CAMUESA,"00000000",1999/08/27 00:00:00,,"14",,,175.415023803711,,"1","00000000",5010.61621431422,709879.445984436
"10753","2000",CA,USF,LPF,OAK,"00000000",2000/06/29 00:00:00,2000/06/30 00:00:00,"7",,187,186.653518676758,"8","1","00000021",4842.32355512916,755359.994252309
"10754","2000",CA,USF,LPF,CACHUMA,"00000000",2000/08/01 00:00:00,2000/08/01 00:00:00,"1",,75,40.2672882080078,"8","1","00000036",2017.53448142695,162955.929034294
"10755","2000",CA,USF,LPF,MC KINLEY,"00000000",2000/06/28 00:00:00,2000/06/28 00:00:00,"9",,127,117.270088195801,"8","1","00000020",2718.36101917452,474575.195160237
"10756","1988",CA,CDF,SLU,SLU 1059,"00001059",1988/05/19 00:00:00,,"14",,,84.9021987915039,,"1","00000000",2318.63613541017,343587.015714923
"10757","2000",CA,CCO,SBC,COTTONWOOD,"00003152",2000/05/28 00:00:00,,"14",,,29.6355819702148,,"1","00000000",1616.61200123797,119930.947874593
"10758","1931",CA,USF,LPF,BUCKHORN,"00000000",1931/09/23 00:00:00,,"14",,,455.8583984375,,"1","00000207",6004.85091861267,1844793.48349284
"10759","1961",CA,USF,LPF,DONOVAN,"00000000",1961/04/15 00:00:00,,"9",,,421.969024658203,,"1","00000003",6636.58573128503,1707648.08339777
"10760","1934",CA,USF,LPF,BUCKHORN CYN,"00000000",1934/09/19 00:00:00,,"14",,,241.588088989258,,"1","00000200",4392.35409369974,977672.338329397
"10761","1928",CA,USF,LPF, ,"00000000",,,"9",,,355.584259033203,,"1","00000005",4685.03520515768,1438998.45881609
"10762","1984",CA,USF,LPF,HURRICANE,"00000000",1984/08/01 00:00:00,1984/08/04 00:00:00,"14",,700,533.139831542969,"8","1","00000999",6656.78306728186,2157540.31590753
"10763","1981",CA,USF,LPF,REY,"00000000",1981/09/22 00:00:00,1981/09/26 00:00:00,"9",,1620,1638.03503417969,"8","1","00000065",15505.0329289747,6628892.35889617
"10764","2000",CA,CCO,SBC,BRADBURY,"00004975",2000/08/13 00:00:00,,"14",,,6.57697629928589,,"1","00000000",713.354616566864,26616.0786051881
"10765","2000",CA,CCO,SBC,BRADBURY (SPOT),"00004975",2000/08/13 00:00:00,,"14",,,0.480706661939621,,"1","00000000",162.282137708495,1945.35089126966
